country,designation,points,price,province,region_1,region_2,variety,winery
1,0,87,35.3634,1,1,1,1,1
2,1,87,15.0,2,2,1,2,2
3,2,87,14.0,3,3,2,3,3
3,3,87,13.0,4,4,1,4,4
3,4,87,65.0,3,3,2,5,5
4,5,87,15.0,5,5,1,6,6
1,6,87,16.0,1,6,1,7,7
5,2,87,24.0,6,7,1,8,8
6,7,87,12.0,7,2,1,8,9
5,8,87,27.0,6,7,1,3,10
3,9,87,19.0,8,2,3,9,11
5,2,87,30.0,6,7,1,8,12
3,2,87,34.0,8,8,4,9,13
1,10,87,35.3634,1,1,1,10,14
3,2,87,12.0,8,9,1,11,15
6,11,87,24.0,9,2,1,4,16
7,12,87,30.0,10,10,1,12,17
7,13,87,13.0,11,11,1,12,18
4,14,87,28.0,5,12,1,13,19
3,2,87,32.0,12,13,1,14,20
3,15,87,23.0,12,13,1,15,20
3,2,87,20.0,3,14,5,5,21
1,16,87,19.0,1,15,1,1,22
3,17,87,22.0,8,16,1,16,23
1,18,87,35.0,1,15,1,17,24
3,19,87,69.0,8,17,4,5,25
1,20,87,13.0,1,18,1,1,26
1,2,87,10.0,1,18,1,17,26
1,21,87,17.0,1,19,1,15,7
3,2,86,16.0,8,20,6,18,27
5,22,86,35.3634,13,21,1,19,28
1,23,86,35.3634,1,15,1,15,29
1,24,86,35.3634,1,15,1,1,29
3,25,86,50.0,8,22,4,15,30
3,2,86,20.0,8,23,4,20,30
3,26,86,50.0,3,24,2,5,31
8,27,86,15.0,14,2,1,21,32
1,28,86,21.0,1,15,1,9,33
1,29,86,11.0,15,25,1,22,34
1,30,86,12.0,1,15,1,17,35
1,2,86,17.0,1,15,1,23,36
3,2,86,22.0,3,3,2,5,37
5,22,86,9.0,13,26,1,19,38
3,2,86,14.0,8,16,1,20,39
8,2,86,9.0,16,2,1,16,40
3,31,86,40.0,12,13,1,15,41
1,32,86,13.0,1,15,1,24,42
3,2,86,13.0,8,27,1,4,43
3,2,86,16.0,12,28,1,20,44
5,33,86,14.0,13,29,1,19,45
1,34,86,35.3634,1,15,1,15,46
8,35,85,22.0,14,2,1,25,47
1,36,85,14.0,1,30,1,26,48
5,37,85,15.0,17,31,1,27,49
1,10,85,35.3634,1,15,1,15,50
3,38,85,30.0,8,2,3,11,51
3,2,85,14.0,8,32,7,11,52
1,32,85,13.0,1,15,1,28,42
